Vraw= -51.445 mV | Vcorr=  -0.490 mV | G2 (105.0) | Idx: 77
Vraw= -46.357 mV | Vcorr=  -0.441 mV | G2 (105.0) | Idx: 78
Vraw= -44.179 mV | Vcorr=  -0.421 mV | G2 (105.0) | Idx: 79
Vraw= -37.813 mV | Vcorr=  -0.360 mV | G2 (105.0) | Idx: 80
Vraw= -39.799 mV | Vcorr=  -0.379 mV | G2 (105.0) | Idx: 81
Vraw= -37.975 mV | Vcorr=  -0.362 mV | G2 (105.0) | Idx: 82
Vraw= -35.750 mV | Vcorr=  -0.340 mV | G2 (105.0) | Idx: 83
Vraw= -35.908 mV | Vcorr=  -0.342 mV | G2 (105.0) | Idx: 84
Vraw= -36.070 mV | Vcorr=  -0.344 mV | G2 (105.0) | Idx: 85
Vraw= -36.755 mV | Vcorr=  -0.350 mV | G2 (105.0) | Idx: 86
Vraw= -32.383 mV | Vcorr=  -0.308 mV | G2 (105.0) | Idx: 87
Vraw= -34.301 mV | Vcorr=  -0.327 mV | G2 (105.0) | Idx: 88
Vraw= -39.057 mV | Vcorr=  -0.372 mV | G2 (105.0) | Idx: 89
Vraw= -39.213 mV | Vcorr=  -0.373 mV | G2 (105.0) | Idx: 90
Vraw= -41.810 mV | Vcorr=  -0.398 mV | G2 (105.0) | Idx: 91
Vraw= -40.949 mV | Vcorr=  -0.390 mV | G2 (105.0) | Idx: 92
Vraw= -43.599 mV | Vcorr=  -0.415 mV | G2 (105.0) | Idx: 93
Vraw= -40.611 mV | Vcorr=  -0.387 mV | G2 (105.0) | Idx: 94
Vraw= -48.887 mV | Vcorr=  -0.466 mV | G2 (105.0) | Idx: 95
Vraw= -48.750 mV | Vcorr=  -0.464 mV | G2 (105.0) | Idx: 96
Vraw= -47.615 mV | Vcorr=  -0.453 mV | G2 (105.0) | Idx: 97
Vraw= -43.144 mV | Vcorr=  -0.411 mV | G2 (105.0) | Idx: 98
Vraw= -48.006 mV | Vcorr=  -0.457 mV | G2 (105.0) | Idx: 99
Vraw= -41.597 mV | Vcorr=  -0.396 mV | G2 (105.0) | Idx: 100
Vraw= -38.684 mV | Vcorr=  -0.368 mV | G2 (105.0) | Idx: 101
Vraw= -39.220 mV | Vcorr=  -0.374 mV | G2 (105.0) | Idx: 102
Vraw= -45.141 mV | Vcorr=  -0.430 mV | G2 (105.0) | Idx: 103
Vraw= -46.406 mV | Vcorr=  -0.442 mV | G2 (105.0) | Idx: 104
Vraw= -41.260 mV | Vcorr=  -0.393 mV | G2 (105.0) | Idx: 105
Vraw= -46.117 mV | Vcorr=  -0.439 mV | G2 (105.0) | Idx: 106
Vraw= -43.697 mV | Vcorr=  -0.416 mV | G2 (105.0) | Idx: 107
Vraw= -46.490 mV | Vcorr=  -0.443 mV | G2 (105.0) | Idx: 108
Vraw= -51.294 mV | Vcorr=  -0.489 mV | G2 (105.0) | Idx: 109
Vraw= -47.649 mV | Vcorr=  -0.454 mV | G2 (105.0) | Idx: 110
Vraw= -49.568 mV | Vcorr=  -0.472 mV | G2 (105.0) | Idx: 111
Vraw= -50.750 mV | Vcorr=  -0.483 mV | G2 (105.0) | Idx: 112
Vraw= -50.346 mV | Vcorr=  -0.479 mV | G2 (105.0) | Idx: 113
Vraw= -51.028 mV | Vcorr=  -0.486 mV | G2 (105.0) | Idx: 114
Vraw= -57.986 mV | Vcorr=  -0.552 mV | G2 (105.0) | Idx: 115
Vraw= -60.361 mV | Vcorr=  -0.575 mV | G2 (105.0) | Idx: 116
Vraw= -57.757 mV | Vcorr=  -0.550 mV | G2 (105.0) | Idx: 117
Vraw= -57.338 mV | Vcorr=  -0.546 mV | G2 (105.0) | Idx: 118
Vraw= -47.309 mV | Vcorr=  -0.451 mV | G2 (105.0) | Idx: 119
Vraw= -49.001 mV | Vcorr=  -0.467 mV | G2 (105.0) | Idx: 120
Vraw= -56.859 mV | Vcorr=  -0.542 mV | G2 (105.0) | Idx: 121
Vraw= -57.603 mV | Vcorr=  -0.549 mV | G2 (105.0) | Idx: 122
Vraw= -51.409 mV | Vcorr=  -0.490 mV | G2 (105.0) | Idx: 123
Vraw= -50.230 mV | Vcorr=  -0.478 mV | G2 (105.0) | Idx: 124
Vraw= -54.320 mV | Vcorr=  -0.517 mV | G2 (105.0) | Idx: 125
Vraw= -57.228 mV | Vcorr=  -0.545 mV | G2 (105.0) | Idx: 126
Vraw= -51.998 mV | Vcorr=  -0.495 mV | G2 (105.0) | Idx: 127
Vraw= -51.369 mV | Vcorr=  -0.489 mV | G2 (105.0) | Idx: 128
Vraw= -47.772 mV | Vcorr=  -0.455 mV | G2 (105.0) | Idx: 129
Vraw= -45.910 mV | Vcorr=  -0.437 mV | G2 (105.0) | Idx: 130
Vraw= -40.881 mV | Vcorr=  -0.389 mV | G2 (105.0) | Idx: 131
Vraw= -45.359 mV | Vcorr=  -0.432 mV | G2 (105.0) | Idx: 132
Vraw= -43.860 mV | Vcorr=  -0.418 mV | G2 (105.0) | Idx: 133
Vraw= -42.459 mV | Vcorr=  -0.404 mV | G2 (105.0) | Idx: 134
Vraw= -37.040 mV | Vcorr=  -0.353 mV | G2 (105.0) | Idx: 135
Vraw= -45.292 mV | Vcorr=  -0.431 mV | G2 (105.0) | Idx: 136
Vraw= -46.234 mV | Vcorr=  -0.440 mV | G2 (105.0) | Idx: 137
Vraw= -43.314 mV | Vcorr=  -0.413 mV | G2 (105.0) | Idx: 138
Vraw= -48.457 mV | Vcorr=  -0.461 mV | G2 (105.0) | Idx: 139
Vraw= -51.388 mV | Vcorr=  -0.489 mV | G2 (105.0) | Idx: 140
Vraw= -50.083 mV | Vcorr=  -0.477 mV | G2 (105.0) | Idx: 141
Vraw= -48.802 mV | Vcorr=  -0.465 mV | G2 (105.0) | Idx: 142
Vraw= -42.809 mV | Vcorr=  -0.408 mV | G2 (105.0) | Idx: 143
Vraw= -53.040 mV | Vcorr=  -0.505 mV | G2 (105.0) | Idx: 144
Vraw= -58.909 mV | Vcorr=  -0.561 mV | G2 (105.0) | Idx: 145
Vraw= -55.287 mV | Vcorr=  -0.527 mV | G2 (105.0) | Idx: 146
Vraw= -49.396 mV | Vcorr=  -0.470 mV | G2 (105.0) | Idx: 147
Vraw= -46.635 mV | Vcorr=  -0.444 mV | G2 (105.0) | Idx: 148
Vraw= -54.148 mV | Vcorr=  -0.516 mV | G2 (105.0) | Idx: 149
Vraw= -54.633 mV | Vcorr=  -0.520 mV | G2 (105.0) | Idx: 150
Vraw= -52.091 mV | Vcorr=  -0.496 mV | G2 (105.0) | Idx: 151
Vraw= -43.982 mV | Vcorr=  -0.419 mV | G2 (105.0) | Idx: 152
Vraw= -37.994 mV | Vcorr=  -0.362 mV | G2 (105.0) | Idx: 153
Vraw= -37.452 mV | Vcorr=  -0.357 mV | G2 (105.0) | Idx: 154
Vraw= -40.183 mV | Vcorr=  -0.383 mV | G2 (105.0) | Idx: 155
Vraw= -38.339 mV | Vcorr=  -0.365 mV | G2 (105.0) | Idx: 156
Vraw= -42.261 mV | Vcorr=  -0.402 mV | G2 (105.0) | Idx: 157
Vraw= -40.328 mV | Vcorr=  -0.384 mV | G2 (105.0) | Idx: 158
Vraw= -38.570 mV | Vcorr=  -0.367 mV | G2 (105.0) | Idx: 159
Vraw= -38.434 mV | Vcorr=  -0.366 mV | G2 (105.0) | Idx: 160
Vraw= -38.703 mV | Vcorr=  -0.369 mV | G2 (105.0) | Idx: 161
Vraw= -40.645 mV | Vcorr=  -0.387 mV | G2 (105.0) | Idx: 162
Vraw= -33.855 mV | Vcorr=  -0.322 mV | G2 (105.0) | Idx: 163
Vraw= -45.655 mV | Vcorr=  -0.435 mV | G2 (105.0) | Idx: 164
Vraw= -46.093 mV | Vcorr=  -0.439 mV | G2 (105.0) | Idx: 165
Vraw= -49.816 mV | Vcorr=  -0.474 mV | G2 (105.0) | Idx: 166
Vraw= -47.860 mV | Vcorr=  -0.456 mV | G2 (105.0) | Idx: 167
Vraw= -49.771 mV | Vcorr=  -0.474 mV | G2 (105.0) | Idx: 168
Vraw= -47.008 mV | Vcorr=  -0.448 mV | G2 (105.0) | Idx: 169
Vraw= -49.342 mV | Vcorr=  -0.470 mV | G2 (105.0) | Idx: 170
Vraw= -52.887 mV | Vcorr=  -0.504 mV | G2 (105.0) | Idx: 171
Vraw= -46.955 mV | Vcorr=  -0.447 mV | G2 (105.0) | Idx: 172
Vraw= -43.208 mV | Vcorr=  -0.412 mV | G2 (105.0) | Idx: 173
Vraw= -41.618 mV | Vcorr=  -0.396 mV | G2 (105.0) | Idx: 174
Vraw= -43.281 mV | Vcorr=  -0.412 mV | G2 (105.0) | Idx: 175
Vraw= -40.142 mV | Vcorr=  -0.382 mV | G2 (105.0) | Idx: 176
Vraw= -36.855 mV | Vcorr=  -0.351 mV | G2 (105.0) | Idx: 177
Vraw= -42.141 mV | Vcorr=  -0.401 mV | G2 (105.0) | Idx: 178
Vraw= -39.299 mV | Vcorr=  -0.374 mV | G2 (105.0) | Idx: 179
Vraw= -39.690 mV | Vcorr=  -0.378 mV | G2 (105.0) | Idx: 180
Vraw= -45.952 mV | Vcorr=  -0.438 mV | G2 (105.0) | Idx: 181
Vraw= -48.837 mV | Vcorr=  -0.465 mV | G2 (105.0) | Idx: 182
Vraw= -48.067 mV | Vcorr=  -0.458 mV | G2 (105.0) | Idx: 183
Vraw= -44.153 mV | Vcorr=  -0.421 mV | G2 (105.0) | Idx: 184
Vraw= -38.799 mV | Vcorr=  -0.370 mV | G2 (105.0) | Idx: 185
Vraw= -32.811 mV | Vcorr=  -0.312 mV | G2 (105.0) | Idx: 186
Vraw= -35.918 mV | Vcorr=  -0.342 mV | G2 (105.0) | Idx: 187
Vraw= -37.104 mV | Vcorr=  -0.353 mV | G2 (105.0) | Idx: 188
Vraw= -43.714 mV | Vcorr=  -0.416 mV | G2 (105.0) | Idx: 189
